0,9,48,100
5,9,14,100
10,7,12,100
15,9,15,100
20,2,42,100
25,8,17,100
30,4,57,100
35,3,25,100
40,1,34,100
45,4,15,100
50,4,50,100
55,3,4,100
60,4,1,100
65,9,1,100
70,5,18,100
75,8,18,100
80,9,23,100
85,2,3,100
90,1,15,100
95,10,56,100
100,5,23,100
105,7,3,100
110,1,7,100
115,8,43,100
120,6,39,100
125,7,44,100
130,8,57,100
135,10,16,100
140,5,6,100
145,8,40,100
150,10,49,100
155,7,23,100
160,6,31,100
165,5,40,100
170,8,11,100
175,3,39,100
180,8,22,100
185,6,41,100
190,4,57,100
195,7,3,100
200,4,23,100
205,6,16,100
210,6,1,100
215,5,29,100
220,4,58,100
225,5,4,100
230,2,41,100
235,4,54,100
240,9,47,100
245,3,41,100
250,2,26,100
255,5,15,100
260,3,42,100
265,6,39,100
270,8,27,100
275,5,48,100
280,1,51,100
285,6,37,100
290,3,50,100
295,7,52,100
300,9,12,100
305,6,24,100
310,10,5,100
315,9,54,100
320,7,54,100
325,9,20,100
330,5,8,100
335,2,49,100
340,9,5,100
345,10,36,100
350,4,51,100
355,7,1,100
360,6,14,100
365,2,39,100
370,9,24,100
375,6,32,100
380,5,35,100
385,10,2,100
390,5,53,100
395,5,3,100
400,1,57,100
405,1,26,100
410,7,35,100
415,1,9,100
420,4,21,100
425,2,22,100
430,8,3,100
435,4,39,100
440,1,59,100
445,7,35,100
450,1,45,100
455,10,43,100
460,7,20,100
465,10,28,100
470,8,46,100
475,9,45,100
480,1,12,100
485,4,57,100
490,10,10,100
495,10,7,100
500,3,12,100
505,10,41,100
510,5,15,100
515,1,27,100
520,9,36,100
525,9,13,100
530,7,38,100
535,10,45,100
540,3,15,100
545,7,33,100
550,5,33,100
555,9,1,100
560,8,11,100
565,10,22,100
570,4,26,100
575,8,49,100
580,5,34,100
585,2,38,100
590,3,4,100
595,9,15,100
600,2,44,100
605,2,32,100
610,2,1,100
615,4,47,100
620,7,24,100
625,3,52,100
630,2,19,100
635,10,3,100
640,6,36,100
645,10,32,100
650,4,48,100
655,7,23,100
660,6,23,100
665,1,41,100
670,8,42,100
675,3,54,100
680,6,3,100
685,5,54,100
690,3,58,100
695,6,53,100
700,2,29,100
705,5,33,100
710,10,36,100
715,8,6,100
720,6,40,100
725,10,41,100
730,2,35,100
735,2,48,100
740,2,42,100
745,4,17,100
750,10,25,100
755,1,46,100
760,10,53,100
765,8,28,100
770,2,3,100
775,4,46,100
780,8,56,100
785,5,49,100
790,7,48,100
795,7,16,100
800,4,59,100
805,6,58,100
810,9,37,100
815,6,2,100
820,1,5,100
825,5,9,100
830,5,50,100
835,3,13,100
840,4,41,100
845,10,53,100
850,4,3,100
855,8,29,100
860,5,14,100
865,1,36,100
870,4,15,100
875,3,20,100
880,5,29,100
885,6,50,100
890,3,44,100
895,6,41,100
900,6,5,100
905,8,35,100
910,4,25,100
915,8,12,100
920,7,40,100
925,6,8,100
930,2,45,100
935,9,16,100
940,4,33,100
945,10,8,100
950,3,37,100
955,8,59,100
960,10,33,100
965,3,7,100
970,6,15,100
975,8,4,100
980,9,52,100
985,6,58,100
990,4,32,100
995,5,17,100
1000,6,29,100
1005,8,52,100
1010,3,58,100
1015,2,33,100
1020,4,49,100
1025,4,49,100
1030,5,27,100
1035,4,1,100
1040,1,15,100
1045,9,45,100
1050,4,51,100
1055,5,54,100
1060,6,35,100
1065,8,35,100
1070,9,6,100
1075,5,28,100
1080,2,39,100
1085,2,10,100
1090,8,38,100
1095,7,42,100
1100,1,56,100
1105,2,24,100
1110,1,24,100
1115,2,49,100
1120,10,12,100
1125,1,58,100
1130,2,37,100
1135,5,10,100
1140,10,45,100
1145,9,44,100
1150,4,4,100
1155,4,58,100
1160,10,10,100
1165,5,53,100
1170,4,53,100
1175,5,55,100
1180,10,42,100
1185,8,33,100
1190,4,14,100
1195,1,24,100
1200,9,23,100
1205,6,13,100
1210,3,11,100
1215,2,38,100
1220,10,39,100
1225,7,22,100
1230,5,22,100
1235,9,11,100
1240,3,47,100
1245,1,59,100
